match,tournament,actual,predicted,hit1X2,hitOU25,brier,kMatchHome,kMatchAway,agreementHome,agreementAway,cvLocal,leagueAvgGoals,lambdaMin,lambdaMax,clampHomeMinHit,clampHomeMaxHit,clampAwayMinHit,clampAwayMaxHit,hAtkN,aDefN,aAtkN,hDefN,lambdaHome_dcBase,lambdaAway_dcBase,lambdaHome_initialClamp,lambdaAway_initialClamp,lambdaHome_final,lambdaAway_final,dLog_behavMod_home,dLog_behavMod_away,dLog_urgencyMod_home,dLog_urgencyMod_away,dLog_lqr_home,dLog_lqr_away,dLog_xgOver_home,dLog_xgOver_away,dLog_ref_home,dLog_ref_away,dLog_clean_home,dLog_clean_away,dLog_scaling_home,dLog_scaling_away,dLog_shrinkage_home,dLog_shrinkage_away
"FC Bayern München vs Paris Saint-Germain","UEFA Champions League, Knockout stage","1-1","1-1",1,1,0.8478,1.2435614326977287,1.2597775922734615,0.6514228152816585,0.6947941167511748,0.37389146800518336,1.6909722222222223,0.01,4.5979621423535955,0,0,0,0,4,4,4,4,1.545777,1.536994,1.554788,1.551923,2.089786,2.085935,0.005812,0.009666,0,0,,,,,-0.017714,-0.017714,,,0.313437,0.313437,,
"Aston Villa vs Nottingham Forest","UEFA Europa League, Knockout stage","4-0","1-0",1,0,0.5877,1.2471465930475674,1.2354909140295662,0.6859835443847819,0.6536318784913305,0.3602806438589113,1.3402777777777777,0.01,5.5735545654649785,0,0,0,0,5,5,5,5,1.54862,1.104242,1.303107,1.135582,2.433876,1.708937,-0.172613,0.027986,0,0,,,0.227422,0.011415,0.041396,0.041396,,,0.355916,0.355916,,
"SC Freiburg vs Sporting Braga","UEFA Europa League, Knockout stage","3-1","3-1",1,0,0.503,1.2484757112322802,1.2403662379401215,0.6896726634295267,0.6671638958052123,0.3602806438589113,1.3402777777777777,0.01,5.242584167502725,0,0,0,0,5,5,5,5,1.603787,0.802303,1.60053,0.856196,2.561226,1.393933,-0.002033,0.065013,0,0,,,0.210187,0.227422,-0.00721,-0.00721,,,0.267174,0.267174,,
"Almere City FC vs De Graafschap","Keuken Kampioen Playoffs","3-1","3-0",1,1,0.4274,1.222110280636278,1.2148766785635883,0.7395017073835926,0.715417900600928,0.30035127494447494,1.5850694444444444,0.01,5.06526717333779,0,0,0,0,4,4,4,4,2.59525,0.985913,2.556765,0.960071,2.631748,1.033773,-0.01494,-0.026562,0,0,,,0.004848,0.049907,0.024057,0.024057,,,,,,
"Arsenal vs Atlético Madrid","UEFA Champions League, Knockout stage","1-0","1-0",1,0,0.3397,1.2683946037392848,1.2262740052440124,0.7178409423762618,0.6051863297422863,0.37389146800518336,1.6909722222222223,0.01,4.541829668093072,0,0,0,0,4,4,4,4,2.255597,0.370821,2.280762,0.359266,2.236642,0.352316,0.011095,-0.031655,0,0,,,,,-0.019534,-0.019534,,,,,,
"RKC Waalwijk vs Willem II Tilburg","Keuken Kampioen Playoffs","0-1","0-1",1,1,0.6033,1.191117133353127,1.1975901312518369,0.6363120429186068,0.6578634676625384,0.30035127494447494,1.5850694444444444,0.01,5.479539346571245,0,0,0,0,3,3,3,3,1.019558,1.797734,1.016571,1.829381,1.016571,1.829381,-0.002934,0.017451,0,0,,,,,,,,,,,,
"Chelsea vs Nottingham Forest","Premier League","1-3","0-1",1,0,0.4511,1.167674011320064,1.1656387845414695,0.7444675229141733,0.7354311777674185,0.225226764310301,1.3810888252148996,0.01,4.747049926170424,0,0,0,0,5,4,4,5,1.272119,2.39196,1.250392,2.32477,1.203606,2.042385,-0.017227,-0.028492,0,0,,,0.091368,0,-0.001866,-0.001866,,,-0.127637,-0.127637,,
"Everton vs Manchester City","Premier League","3-3","0-2",0,0,1.0136,1.1731218489537074,1.1744094149689601,0.7686557567163411,0.7743725107584086,0.225226764310301,1.3810888252148996,0.01,4.417237362426146,0,0,0,0,5,5,5,5,0.803123,2.44333,0.745554,2.413414,0.739504,2.337284,-0.07438,-0.012319,0,0,,,-0.002774,-0.02668,-0.005373,-0.005373,,,,,,
"Cremonese vs Lazio","Serie A","1-2","0-1",1,1,0.4192,1.2527868442017187,1.251545592538792,0.7598535878055993,0.7561225015126274,0.33267835838184096,1.2042857142857142,0.01,3.7752686533414,0,0,0,0,5,5,5,5,0.395546,1.863409,0.360644,1.965634,0.259332,1.495814,-0.092376,0.053407,0,0,,,-0.074419,-0.017782,0.037137,0.037137,,,-0.292499,-0.292499,,
"AS Roma vs Fiorentina","Serie A","4-0","1-0",1,0,0.3864,1.2612465341578694,1.250667091354959,0.7852826238189393,0.7534818091991684,0.33267835838184096,1.2042857142857142,0.01,4.629166441121663,0,0,0,0,5,5,5,5,2.591723,0.728043,2.93433,0.685553,2.670259,0.602731,0.124156,-0.060135,0,0,,,0.052064,0.017613,0.003404,0.003404,,,-0.149772,-0.149772,,
